,410,435,460,485,510,535,560,585,610,635,660,685,710,735,760,785,810,835,PH,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
23,-2.0578987969694373,-1.7194281629792152,-1.3809575289889924,-1.04248689499877,-0.7040162610085473,-0.36554562701832866,0.12500988159891804,-0.07504599424087945,0.3159447908501551,0.3137267506407812,0.4158741237258547,0.6114887595806379,0.6220819224105227,0.7441381507668358,0.8661943791231479,0.9882506074794599,1.1103068358357722,1.232363064192084,8.48,0.18,0.12,5.31,106.44,74.5,11.25,3.94,15.45,4.11,2.39,0.62,0.55
24,-2.1824837363901644,-1.800035731902911,-1.4175877274156574,-1.0351397229284038,-0.6526917184411506,-0.27024371395390023,0.1902607582078834,0.13170410534838578,0.4251992193598754,0.444294576049894,0.48348102309800567,0.6425815740050203,0.6479273418639039,0.7248004781158843,0.8016736143678642,0.878546750619844,0.9554198868718238,1.0322930231238037,8.54,0.25,0.54,5.63,590.4,41.0,23.75,9.47,13.7,5.63,1.77,1.97,0.3
25,-1.3085221886566634,-1.178218591128114,-1.047914993599565,-0.917611396071016,-0.7873077985424667,-0.6570042010139249,-0.5199824091867024,-0.8696297051319607,-0.06521410272184062,-0.13734526962652407,0.027558902075230512,0.47546956072680474,0.43286099162417213,0.7254314078329539,1.0180018240417341,1.3105722402505147,1.6031426564592952,1.8957130726680755,5.04,0.07,0.24,37.14,98.56,2.13,0.74,24.83,0.17,7.6,1.48,0.54,0.38
26,-0.9741955940583604,-0.9213790125587714,-0.8685624310591828,-0.8157458495595938,-0.7629292680600053,-0.7101126865604255,-0.731516485274966,-1.1805588291465072,-0.19836327600546022,-0.2871542775018353,-0.11293478870440991,0.42288567138106115,0.3543604415844127,0.6886540534245456,1.0229476652646772,1.3572412771048088,1.6915348889449402,2.025828500785072,7.97,0.4,0.94,27.15,381.92,6.31,1.9,41.39,0.91,9.2,0.9,0.76,0.46
27,-1.5545066694819558,-1.3697202917236304,-1.1849339139653052,-1.0001475362069798,-0.8153611584486544,-0.6305747806903352,-0.4652899055656174,-0.6789627336351918,0.09673357630466464,0.06426739464129555,0.23944311699219178,0.6400888664523935,0.612601601334321,0.8114918964890685,1.0103821916438145,1.209272486798561,1.4081627819533071,1.6070530771080533,5.31,0.02,0.35,2.45,714.56,2.3,1.9,28.97,0.31,13.07,0.94,0.61,0.58
28,0.26227689404007404,0.03427606873875496,-0.19372475656256413,-0.42172558186388326,-0.6497264071652024,-0.8777272324665311,-1.0910030864249898,-1.6252199210599088,-0.6773334735926716,-0.804573397518389,-0.6640378791596666,0.11412673168817243,0.08440155454814129,0.49026706881867194,0.896132583089202,1.301998097359732,1.707863611630262,2.1137291259007918,6.2,0.11,0.75,55.36,271.04,4.95,2.5,9.93,2.55,25.8,1.96,0.51,0.5
29,0.0674752029137226,-0.15142257942758877,-0.3703203617689001,-0.5892181441102117,-0.8081159264515231,-1.0270137087928435,-1.2211910183549137,-1.6523176374410697,-0.5678174248397472,-0.6426279819649512,-0.3298692172149747,0.4065668369174968,0.3807179926706336,0.6874889263047476,0.9942598599388608,1.301030793572974,1.607801727207087,1.9145726608412004,4.73,0.05,0.71,55.36,98.56,3.89,1.01,8.28,19.58,18.75,0.44,0.68,0.09
30,-1.396087666040775,-1.2541428376573502,-1.1121980092739252,-0.9702531808905004,-0.8283083525070759,-0.6863635241236582,-0.5189412801545593,-0.7711671820062453,-0.010772189676138858,-0.06086895768386779,0.15488356586432037,0.5808904038477897,0.5362574256309739,0.7799764027320515,1.0236953798331272,1.2674143569342027,1.5111333340352782,1.7548523111363539,6.08,0.14,0.19,43.45,271.04,13.23,4.6,13.24,125.11,40.71,2.52,2.12,0.89
31,1.1451067009592573,0.7428362490986941,0.34056579723813085,-0.06170465462243241,-0.4639751064829955,-0.8662455583435682,-1.270249396473629,-1.8412705046585882,-0.8704828375111251,-1.0188822289012438,-0.7646385973547811,-0.0723380607506448,-0.11006068369304095,0.2673821363043718,0.6448249563017828,1.0222677762991939,1.3997105962966048,1.7771534162940157,5.22,0.05,0.67,10.51,160.16,3.19,1.71,6.62,44.73,44.72,5.48,2.93,0.97
32,1.6118832102669227,1.143088579225831,0.6742939481847392,0.20549931714364764,-0.2632953138974441,-0.732089944938544,-1.2176212039773524,-1.7556819819632814,-0.9287166871874593,-1.06466612941122,-0.8436007463797566,-0.3390606106319549,-0.3696955150931173,0.012180528515188655,0.39405657212349365,0.7759326157317987,1.157808659340104,1.5396847029484086,5.96,0.13,0.21,14.72,209.44,6.6,3.52,29.8,157.45,50.18,4.34,1.52,1.01
